DATE,CPD_ID,SERIES_ID,SMILES,pIC50
2007-02-19,CPD_150,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2nc(O)ccc2n1-c1ccccc1,5.301029995663981
2007-02-19,CPD_151,Indole,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccc(O)cc2n1-c1ccccc1,8.397940008672036
2007-02-19,CPD_152,Indole,COc1ccc2c(n1)c(C(=O)N1CCNCC1)c(Cc1cccc(F)c1C)n2-c1ccccc1,6.226213555018807
2007-02-19,CPD_153,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cc(O)ccc2n1-c1ccccc1,8.698970004336019
2007-02-19,CPD_154,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccncc2n1-c1ccccc1,7.619788758288393
2007-03-06,CPD_155,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cc(O)cnc2n1-c1ccccc1,8.221848749616356
2007-03-06,CPD_156,Indole,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2nc(O)ccc2n1-c1ccccc1,5.795880017344075
2007-03-06,CPD_157,Indole,COc1cnc2c(c1)c(C(=O)N1CCNCC1)c(Oc1cc(F)ccc1C)n2-c1ccccc1,4.88941028970075
2007-03-09,CPD_158,Indole,COc1ccc2c(C(=O)N3CCNCC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2c1,8.096910013008056
2007-03-28,CPD_159,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1,8.154901959985743
2007-04-04,CPD_160,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cc(Br)ccc2n1-c1ccccc1,6.593459819566044
2007-04-05,CPD_161,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccccc2n1-c1ccnc(O)c1,5.309803919971486
2007-04-05,CPD_162,Indole,COc1cc2c(C(=O)N3CCNCC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2cc1OC,6.581698708680253
2007-04-11,CPD_163,Indole,COc1cnc2c(c1)c(C(=O)N1CCNCC1)c(Cc1cccc(F)c1C)n2-c1ccccc1,5.330683119433887
2007-04-11,CPD_164,Indole,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2cc(O)cnc2n1-c1ccccc1,8.221848749616356
2007-04-13,CPD_165,Indole,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccncc2n1-c1ccccc1,7.67778070526608
2007-04-20,CPD_166,Indole,COc1cc2c(C(=O)N3CCNCC3)c(Cc3cccc(F)c3C)n(-c3ccccc3)c2cn1,6.070070439915411
2007-04-20,CPD_167,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cc(O)ncc2n1-c1ccccc1,5.0
2007-04-20,CPD_168,Indole,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2c(C)c(O)ccc2n1-c1ccccc1,8.698970004336019
2007-04-20,CPD_169,Indole,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2cnccc2n1-c1ccccc1,8.096910013008056
2007-04-20,CPD_170,Indole,COc1cc2c(C(=O)N3CCNCC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2cn1,5.221848749616356
2007-04-20,CPD_171,Indole,COc1ccc2c(c1C)c(C(=O)N1CCNCC1)c(Cc1cccc(F)c1C)n2-c1ccccc1,6.696803942579511
2007-04-24,CPD_172,Indole,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccc(OCCOc3ccccc3)cc2n1-c1ccccc1,7.619788758288393
2007-04-26,CPD_173,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccc(Br)cc2n1-c1ccccc1,7.167491087293763
2007-05-10,CPD_174,Indole,O=C(c1c(Oc2cc(F)ccc2Cl)n(-c2ccccc2)c2cccnc12)N1CCNCC1,7.259637310505756
2007-05-10,CPD_175,Indole,O=C(c1c(Oc2cccc(F)c2F)n(-c2ccccc2)c2cccnc12)N1CCNCC1,6.508638306165727
2007-05-10,CPD_176,Indole,O=C(c1c(Oc2cc(F)ccc2F)n(-c2ccccc2)c2cccnc12)N1CCNCC1,6.694648630553376
2007-05-10,CPD_177,Indole,O=C(c1c(Oc2ccccc2F)n(-c2ccccc2)c2cccnc12)N1CCNCC1,6.289882634888183
2007-05-21,CPD_178,Indolizine,O=C(c1c(Cc2ccccc2)c(-c2ccccc2)n2ccccc12)N1CCNCC1,6.688246138944246
2007-05-24,CPD_179,Indole,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CCS(=O)(=O)CC1,5.0
2007-05-24,CPD_180,Indole,COc1cc2c(cn1)c(C(=O)N1CCNCC1)c(Oc1cc(F)ccc1C)n2-c1ccccc1,7.136677139879544
2007-05-29,CPD_181,Indole,O=C(Nc1ccncc1)c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12,5.0
2007-06-01,CPD_182,Indole,CC1(C)CNCCN1C(=O)c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12,4.681936665037238
2007-06-04,CPD_183,Indole,CCCCC1CN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CCN1,5.161780778092374
2007-06-04,CPD_184,Indole,CCC[C@@H]1CN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CCN1,4.903089986991943
2007-06-04,CPD_185,Indole,CCC[C@H]1CN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CCN1,4.910094888560602
2007-06-05,CPD_186,Indole,NC1(CO)CCN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CC1,4.108462542327435
2007-06-05,CPD_187,Indole,NC1(C(=O)O)CCN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CC1,4.30102999566398
2007-06-05,CPD_188,Indole,COC(=O)C1CN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CCN1,4.341035157335564
2007-06-05,CPD_189,Indole,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CCNC(CO)C1,5.795880017344075
2007-06-05,CPD_190,Indole,COC(=O)C1(N)CCN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CC1,4.30102999566398
2007-06-05,CPD_191,Indole,O=C(O)C1CN(C(=O)c2c(Oc3ccccc3)n(-c3ccccc3)c3ccccc23)CCN1,4.844663962534939
2007-06-06,CPD_192,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccccc2n1C1CCCCC1,8.522878745280337
2007-06-06,CPD_193,Indole,COc1cc2c(cn1)c(C(=O)N1CCNCC1)c(Cc1cccc(F)c1C)n2-c1ccccc1,8.221848749616356
2007-06-06,CPD_194,Indole,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cnc(O)cc2n1-c1ccccc1,7.638272163982406
